date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:13	46759/46759	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2016:04:30%20GMT	https://www.energy.gov/science-innovation/electric-power	C:/My%20Web%20Sites/sixteen/www.energy.gov/science-innovation/electric-power.html	(from )
21:40:14	583/583	---M-Z	200	added ('OK')	text/plain	date:Fri,%2021%20Oct%202022%2002:04:16%20GMT	https://www.energy.gov/robots.txt		(from )
21:40:14	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/sixteen/www.google-analytics.com/analytics.js	(from https://www.energy.gov/science-innovation/electric-power)
21:40:16	416/416	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Oct%202022%2008:19:23%20GMT	https://www.energy.gov/sites/default/files/google_tag/energygov/google_tag.script.js?rkcprw	C:/My%20Web%20Sites/sixteen/www.energy.gov/sites/default/files/google_tag/energygov/google_tag.script3801.js	(from https://www.energy.gov/science-innovation/electric-power)
21:40:16	8569/8569	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Oct%202022%2008:19:09%20GMT	https://www.energy.gov/sites/default/files/css/css_c4zKNrIN-saJf1l_oTSUy5iRgC55z_9qLtK_nqbIQaU.css	C:/My%20Web%20Sites/sixteen/www.energy.gov/sites/default/files/css/css_c4zKNrIN-saJf1l_oTSUy5iRgC55z_9qLtK_nqbIQaU.css	(from https://www.energy.gov/science-innovation/electric-power)
21:40:17	563276/563276	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Oct%202022%2000:06:15%20GMT	https://www.energy.gov/sites/default/files/css/css_vvcy90iACd-c4W4CeAYXBcBJIHvk9OMgM9Gup6dTDgE.css	C:/My%20Web%20Sites/sixteen/www.energy.gov/sites/default/files/css/css_vvcy90iACd-c4W4CeAYXBcBJIHvk9OMgM9Gup6dTDgE.css	(from https://www.energy.gov/science-innovation/electric-power)
21:40:18	93239/93239	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Oct%202022%2008:19:14%20GMT	https://www.energy.gov/sites/default/files/js/js_hebbftzhYNS_zqzLeXqvpl2v17L_9pIWRYjjLp7x6JA.js	C:/My%20Web%20Sites/sixteen/www.energy.gov/sites/default/files/js/js_hebbftzhYNS_zqzLeXqvpl2v17L_9pIWRYjjLp7x6JA.js	(from https://www.energy.gov/science-innovation/electric-power)
21:40:18	23123/23123	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Oct%202022%2002:01:49%20GMT	https://www.energy.gov/themes/particle/dist/app-drupal/assets/energy_crest.png	C:/My%20Web%20Sites/sixteen/www.energy.gov/themes/particle/dist/app-drupal/assets/energy_crest.png	(from https://www.energy.gov/science-innovation/electric-power)
21:40:19	514/514	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2026%20Oct%202022%2015:46:11%20GMT	https://www.energy.gov/science-innovation/artificial-intelligence-and-technology-office	C:/My%20Web%20Sites/sixteen/www.energy.gov/science-innovation/artificial-intelligence-and-technology-office	(from https://www.energy.gov/science-innovation/electric-power)
21:40:19	43835/43835	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2016:06:47%20GMT	https://www.energy.gov/science-innovation/climate-change	C:/My%20Web%20Sites/sixteen/www.energy.gov/science-innovation/climate-change.html	(from https://www.energy.gov/science-innovation/electric-power)
21:40:20	55773/55773	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2016:07:04%20GMT	https://www.energy.gov/science-innovation/energy-sources/fossil	C:/My%20Web%20Sites/sixteen/www.energy.gov/science-innovation/energy-sources/fossil.html	(from https://www.energy.gov/science-innovation/electric-power)
21:40:21	49028/49028	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2016:03:09%20GMT	https://www.energy.gov/science-innovation/energy-sources/nuclear	C:/My%20Web%20Sites/sixteen/www.energy.gov/science-innovation/energy-sources/nuclear.html	(from https://www.energy.gov/science-innovation/electric-power)
21:40:22	56472/56472	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2016:10:21%20GMT	https://www.energy.gov/science-innovation/energy-sources/renewable-energy/wind	C:/My%20Web%20Sites/sixteen/www.energy.gov/science-innovation/energy-sources/renewable-energy/wind.html	(from https://www.energy.gov/science-innovation/electric-power)
21:40:23	358/358	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2026%20Oct%202022%2016:10:22%20GMT	https://www.energy.gov/science-innovation/energy-sources/renewable-energy/solar	C:/My%20Web%20Sites/sixteen/www.energy.gov/science-innovation/energy-sources/renewable-energy/solar	(from https://www.energy.gov/science-innovation/electric-power)
21:40:25	44914/44914	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2016:10:23%20GMT	https://www.energy.gov/science-innovation/electric-power/smart-grid	C:/My%20Web%20Sites/sixteen/www.energy.gov/science-innovation/electric-power/smart-grid.html	(from https://www.energy.gov/science-innovation/electric-power)
21:40:25	48843/48843	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2016:05:48%20GMT	https://www.energy.gov/science-innovation/electric-power/storage	C:/My%20Web%20Sites/sixteen/www.energy.gov/science-innovation/electric-power/storage.html	(from https://www.energy.gov/science-innovation/electric-power)
21:40:26	48512/48512	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Feb%202021%2019:43:50%20GMT	https://www.energy.gov/sites/default/files/styles/featured_image_full/public/Smart%20Grid%200613.jpg?itok=uei7WdnM	C:/My%20Web%20Sites/sixteen/www.energy.gov/sites/default/files/styles/featured_image_full/public/Smart%20Grid%200613af22.jpg	(from https://www.energy.gov/science-innovation/electric-power)
21:40:28	135949/135949	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Feb%202021%2018:18:19%20GMT	https://www.energy.gov/sites/default/files/styles/listing_large/public/2017/04/f34/blur-1846617_1920.jpg.png?itok=gPjI_XMm	C:/My%20Web%20Sites/sixteen/www.energy.gov/sites/default/files/styles/listing_large/public/2017/04/f34/blur-1846617_1920.jpg44ac.png	(from https://www.energy.gov/science-innovation/electric-power)
21:40:30	256916/256916	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Jun%202017%2017:44:40%20GMT	https://www.energy.gov/sites/default/files/image8grid_0.jpg	C:/My%20Web%20Sites/sixteen/www.energy.gov/sites/default/files/image8grid_0.jpg	(from https://www.energy.gov/science-innovation/electric-power)
21:40:32	25516/25516	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Feb%202021%2019:43:50%20GMT	https://www.energy.gov/sites/default/files/styles/listing_large/public/2015/08/f25/image10grid.jpg?itok=XoCzHW83	C:/My%20Web%20Sites/sixteen/www.energy.gov/sites/default/files/styles/listing_large/public/2015/08/f25/image10gridec80.jpg	(from https://www.energy.gov/science-innovation/electric-power)
